State,Year,Quarter,Transaction_Type,Transaction_Count,Transaction_Amount
andhra-pradesh,2021,4,Merchant payments,207538904,152883933596.5386
andhra-pradesh,2021,4,Recharge & bill payments,51762842,31232784713.985794
andhra-pradesh,2021,4,Financial Services,243951,332740108.6635881
andhra-pradesh,2021,4,Others,701856,545223415.6638832
andhra-pradesh,2022,1,Peer-to-peer payments,288488560,1089629182596.4781
andhra-pradesh,2022,1,Merchant payments,242031836,169419685917.19562
andhra-pradesh,2022,1,Recharge & bill payments,51224170,34473036841.83001
andhra-pradesh,2022,1,Financial Services,231651,324358965.11859065
andhra-pradesh,2022,1,Others,627694,474382234.25397474
andhra-pradesh,2022,2,Peer-to-peer payments,321362337,1231408926513.7114
andhra-pradesh,2022,2,Merchant payments,292530048,205433660654.20898
andhra-pradesh,2022,2,Recharge & bill payments,56606969,42408541939.06145
andhra-pradesh,2022,2,Financial Services,192751,245783011.04455262
andhra-pradesh,2022,2,Others,441925,357036084.9071137
andhra-pradesh,2022,3,Peer-to-peer payments,298804000,1140164525892.7397
andhra-pradesh,2022,3,Merchant payments,291033653,202910820650.0824
andhra-pradesh,2022,3,Recharge & bill payments,52467708,41438764826.20322
andhra-pradesh,2022,3,Financial Services,187190,239347241.54655045
andhra-pradesh,2022,3,Others,362484,323951101.5715289
andhra-pradesh,2022,4,Merchant payments,321632104,211898851397.09848
andhra-pradesh,2022,4,Peer-to-peer payments,315734006,1170249585983.0112
andhra-pradesh,2022,4,Recharge & bill payments,52098850,41986837706.47902
andhra-pradesh,2022,4,Financial Services,206459,250596592.06465048
andhra-pradesh,2022,4,Others,345658,339211363.0027188
andhra-pradesh,2023,1,Merchant payments,540680395,311606731877.0
andhra-pradesh,2023,1,Peer-to-peer payments,514931308,1857818168755.0
andhra-pradesh,2023,1,Recharge & bill payments,89143939,78817989795.0
andhra-pradesh,2023,1,Financial Services,288150,331233097.0
andhra-pradesh,2023,1,Others,488672,477193006.0
andhra-pradesh,2023,2,Merchant payments,634303064,349602824539.0
andhra-pradesh,2023,2,Peer-to-peer payments,573455382,2067288068882.0
andhra-pradesh,2023,2,Recharge & bill payments,97202487,88352183038.0
andhra-pradesh,2023,2,Financial Services,316533,386071375.0
andhra-pradesh,2023,2,Others,379498,409939082.0
andhra-pradesh,2023,3,Merchant payments,750265405,395042164275.0
andhra-pradesh,2023,3,Peer-to-peer payments,623202203,2163464730936.0
andhra-pradesh,2023,3,Recharge & bill payments,101000645,94077774967.0
andhra-pradesh,2023,3,Financial Services,361584,466791218.0
andhra-pradesh,2023,3,Others,334566,362636702.0
andhra-pradesh,2023,4,Merchant payments,822516631,427677236042.0
andhra-pradesh,2023,4,Peer-to-peer payments,673002314,2270766948881.0
andhra-pradesh,2023,4,Recharge & bill payments,100733697,103186953776.0
andhra-pradesh,2023,4,Financial Services,431705,535202901.0
andhra-pradesh,2023,4,Others,303079,348636223.0
arunachal-pradesh,2021,1,Peer-to-peer payments,566209,3460488558.9436507
arunachal-pradesh,2021,1,Recharge & bill payments,450649,142358376.9003836
arunachal-pradesh,2021,1,Merchant payments,155966,204958020.0891498
arunachal-pradesh,2021,1,Financial Services,1558,2672460.4740365944
arunachal-pradesh,2021,1,Others,3074,3301662.6094231335
arunachal-pradesh,2021,2,Peer-to-peer payments,762946,4000960152.0755496
arunachal-pradesh,2021,2,Recharge & bill payments,556680,165579844.25105897
arunachal-pradesh,2021,2,Merchant payments,243375,283709438.5363142
arunachal-pradesh,2021,2,Financial Services,1582,2761076.7934988844
arunachal-pradesh,2021,2,Others,3755,3415105.3379601175
