State,Year,Quarter,District,Transaction_Count,Transaction_Amount
andhra-pradesh,2021,4,prakasam district,27858275,71323060008.47623
andhra-pradesh,2021,4,anantapur district,36129136,81239787006.64764
andhra-pradesh,2021,4,ysr district,26340348,69081850069.2033
andhra-pradesh,2021,4,west godavari district,33235175,81292461575.08182
andhra-pradesh,2021,4,kurnool district,31782248,73968947669.64754
andhra-pradesh,2021,4,chittoor district,51119640,103985734663.73514
andhra-pradesh,2021,4,guntur district,50919286,115553993673.17337
andhra-pradesh,2021,4,krishna district,55489829,125015323207.89836
andhra-pradesh,2022,1,east godavari district,54738830,121067103712.79568
andhra-pradesh,2022,1,srikakulam district,20990782,46898912115.649216
andhra-pradesh,2022,1,spsr nellore district,47645702,104895571602.13988
andhra-pradesh,2022,1,vizianagaram district,19278262,41994853361.58879
andhra-pradesh,2022,1,visakhapatnam district,88233362,170120350591.26004
andhra-pradesh,2022,1,prakasam district,31340975,79494373254.71565
andhra-pradesh,2022,1,anantapur district,40613148,90197023268.43825
andhra-pradesh,2022,1,ysr district,29783739,78421693518.90942
andhra-pradesh,2022,1,west godavari district,37271259,92397939903.60938
andhra-pradesh,2022,1,kurnool district,35093633,81568420500.54749
andhra-pradesh,2022,1,chittoor district,58561024,117900595508.634
andhra-pradesh,2022,1,guntur district,57226996,129673727687.08942
andhra-pradesh,2022,1,krishna district,61826199,139690081529.49048
andhra-pradesh,2022,2,east godavari district,62072845,135531452997.6391
andhra-pradesh,2022,2,srikakulam district,23727353,53754764122.4327
andhra-pradesh,2022,2,spsr nellore district,54838708,121941082043.49483
andhra-pradesh,2022,2,vizianagaram district,21766135,47294745020.495636
andhra-pradesh,2022,2,visakhapatnam district,101387402,193242841582.14285
andhra-pradesh,2022,2,prakasam district,36163507,90435082545.97766
andhra-pradesh,2022,2,anantapur district,46099366,102138758015.76915
andhra-pradesh,2022,2,ysr district,33154559,87601310069.59737
andhra-pradesh,2022,2,west godavari district,44409239,107973244960.42824
andhra-pradesh,2022,2,kurnool district,40165692,92409350855.50198
andhra-pradesh,2022,2,chittoor district,67507661,136435445124.75616
andhra-pradesh,2022,2,guntur district,66315749,147098141568.7623
andhra-pradesh,2022,2,krishna district,73525814,163997729295.93134
andhra-pradesh,2022,3,east godavari district,61467134,129677722169.74829
andhra-pradesh,2022,3,srikakulam district,22126541,46899962921.785614
andhra-pradesh,2022,3,spsr nellore district,42116582,95099325968.25972
andhra-pradesh,2022,3,vizianagaram district,20440645,42513313394.84207
andhra-pradesh,2022,3,visakhapatnam district,97434546,181124419863.61444
andhra-pradesh,2022,3,prakasam district,35376080,87475230073.46387
andhra-pradesh,2022,3,anantapur district,45165363,97735649608.10074
andhra-pradesh,2022,3,ysr district,33119038,86016932181.12372
andhra-pradesh,2022,3,west godavari district,43635951,101706854744.31876
andhra-pradesh,2022,3,kurnool district,39557913,88415335176.31995
andhra-pradesh,2022,3,chittoor district,65751781,133053581631.6395
andhra-pradesh,2022,3,guntur district,65612317,141588522953.23773
andhra-pradesh,2022,3,krishna district,71051144,153770559025.69125
andhra-pradesh,2022,4,east godavari district,68016055,136531110139.86256
andhra-pradesh,2022,4,srikakulam district,23693779,47726411107.88628
andhra-pradesh,2022,4,spsr nellore district,42582064,92085916180.6851
andhra-pradesh,2022,4,vizianagaram district,22205190,44467386404.34758
andhra-pradesh,2022,4,visakhapatnam district,103790055,185306149744.73108
andhra-pradesh,2022,4,prakasam district,37211077,88105031866.36835
andhra-pradesh,2022,4,anantapur district,48299601,101533878537.23433
andhra-pradesh,2022,4,ysr district,35201596,87360426792.81667
andhra-pradesh,2022,4,west godavari district,47919930,105335724990.59325
andhra-pradesh,2022,4,kurnool district,43524766,94667441029.08345
andhra-pradesh,2022,4,chittoor district,70322534,136840859888.18155
andhra-pradesh,2022,4,guntur district,70723763,146938735166.52365
andhra-pradesh,2022,4,krishna district,76526667,157826011193.35443
andhra-pradesh,2023,1,east godavari district,115196449,223454724672.0
andhra-pradesh,2023,1,srikakulam district,42209999,86486032409.0
andhra-pradesh,2023,1,spsr nellore district,71318689,143967164643.0
andhra-pradesh,2023,1,vizianagaram district,38838861,76472384525.0
andhra-pradesh,2023,1,visakhapatnam district,164358781,277211090180.0
andhra-pradesh,2023,1,prakasam district,63671149,141672839638.0
andhra-pradesh,2023,1,anantapur district,82127373,162287796625.0
andhra-pradesh,2023,1,ysr district,59768512,140117633668.0
andhra-pradesh,2023,1,west godavari district,79094558,165941144654.0
andhra-pradesh,2023,1,kurnool district,72405172,149100361797.0
andhra-pradesh,2023,1,chittoor district,120192355,218037027226.0
andhra-pradesh,2023,1,guntur district,114246185,226244225817.0
andhra-pradesh,2023,1,krishna district,122104381,238058890676.0
andhra-pradesh,2023,2,east godavari district,131243375,245134717109.0
andhra-pradesh,2023,2,srikakulam district,47633204,93082175904.0
andhra-pradesh,2023,2,spsr nellore district,82056071,165181391414.0
andhra-pradesh,2023,2,vizianagaram district,43625851,82671020353.0
andhra-pradesh,2023,2,visakhapatnam district,184918179,303874597259.0
andhra-pradesh,2023,2,prakasam district,73598725,158428689659.0
andhra-pradesh,2023,2,anantapur district,91695174,180050369328.0
andhra-pradesh,2023,2,ysr district,66809788,156231915019.0
andhra-pradesh,2023,2,west godavari district,92533269,187699526244.0
andhra-pradesh,2023,2,kurnool district,81475907,166991990104.0
andhra-pradesh,2023,2,chittoor district,136283483,245550525910.0
andhra-pradesh,2023,2,guntur district,132035450,254140764680.0
andhra-pradesh,2023,2,krishna district,141748488,267001403933.0
andhra-pradesh,2023,3,east godavari district,148701666,260414286361.0
andhra-pradesh,2023,3,srikakulam district,51382393,91818203167.0
andhra-pradesh,2023,3,spsr nellore district,93875073,176593750929.0
andhra-pradesh,2023,3,vizianagaram district,47856766,83289704541.0
andhra-pradesh,2023,3,visakhapatnam district,209884966,328927220951.0
andhra-pradesh,2023,3,prakasam district,84447202,171207298619.0
andhra-pradesh,2023,3,anantapur district,104539628,192477441164.0
andhra-pradesh,2023,3,ysr district,76091693,168218516193.0
andhra-pradesh,2023,3,west godavari district,102962058,191891823401.0
andhra-pradesh,2023,3,kurnool district,92890445,172979053545.0
andhra-pradesh,2023,3,chittoor district,152863845,265404757144.0
andhra-pradesh,2023,3,guntur district,150246761,270651818044.0
andhra-pradesh,2023,3,krishna district,159421907,279540224039.0
andhra-pradesh,2023,4,east godavari district,162793144,282329255747.0
andhra-pradesh,2023,4,srikakulam district,56291337,97021746702.0
andhra-pradesh,2023,4,spsr nellore district,97721962,179306028468.0
andhra-pradesh,2023,4,vizianagaram district,53248760,90289502507.0
andhra-pradesh,2023,4,visakhapatnam district,223584765,344512874812.0
andhra-pradesh,2023,4,prakasam district,89721677,174929737360.0
andhra-pradesh,2023,4,anantapur district,113698752,203367177888.0
andhra-pradesh,2023,4,ysr district,83729195,176644897379.0
andhra-pradesh,2023,4,west godavari district,114825704,209237892746.0
andhra-pradesh,2023,4,kurnool district,103816175,190597527675.0
andhra-pradesh,2023,4,chittoor district,163521593,274132458092.0
andhra-pradesh,2023,4,guntur district,160724947,281806839570.0
andhra-pradesh,2023,4,krishna district,173309415,298339038877.0
arunachal-pradesh,2021,1,lower dibang valley district,32427,90709108.52350861
arunachal-pradesh,2021,1,lower subansiri district,29916,106591162.96103427
arunachal-pradesh,2021,1,longding district,23962,75573420.97022958
arunachal-pradesh,2021,1,west siang district,42575,138700637.29161483
arunachal-pradesh,2021,1,kamle district,3092,11023767.702559106
arunachal-pradesh,2021,1,upper siang district,21312,73026286.55263102
arunachal-pradesh,2021,1,tirap district,32043,110593517.1462319
arunachal-pradesh,2021,1,papum pare district,419891,1388723426.7156572
arunachal-pradesh,2021,1,kurung kumey district,4962,22483754.80073421
arunachal-pradesh,2021,1,anjaw district,12823,38844865.55268997
arunachal-pradesh,2021,1,siang district,13679,42644184.41156319
arunachal-pradesh,2021,1,lower siang district,13231,37929392.80129131
arunachal-pradesh,2021,1,kra daadi district,6393,24326518.988243874
arunachal-pradesh,2021,1,changlang district,78849,220167765.51868472
arunachal-pradesh,2021,1,pakke kessang district,3563,8146941.7919960935
arunachal-pradesh,2021,1,dibang valley district,1930,7949867.973505622
arunachal-pradesh,2021,1,west kameng district,120906,384735272.8434415
arunachal-pradesh,2021,1,shi yomi district,1251,6905518.17317189
arunachal-pradesh,2021,1,east siang district,82357,253988360.79783517
arunachal-pradesh,2021,1,upper subansiri district,28053,116973014.48753676
arunachal-pradesh,2021,1,east kameng district,16281,77915774.21328105
arunachal-pradesh,2021,1,lohit district,72380,198534806.934188
arunachal-pradesh,2021,1,lepa rada district,15690,52794992.77695303
arunachal-pradesh,2021,1,tawang district,54137,207859088.41115895
arunachal-pradesh,2021,1,namsai district,45753,116637630.67690115
arunachal-pradesh,2021,2,lower dibang valley district,42091,105552358.12192997
arunachal-pradesh,2021,2,lower subansiri district,40081,120717472.89200453
arunachal-pradesh,2021,2,longding district,31640,96566640.5347223
arunachal-pradesh,2021,2,west siang district,59341,180700138.79997098
arunachal-pradesh,2021,2,kamle district,5476,17345427.03524171
arunachal-pradesh,2021,2,upper siang district,25971,89455180.0696969
arunachal-pradesh,2021,2,tirap district,46320,144548683.3225929
arunachal-pradesh,2021,2,papum pare district,552953,1501062555.477559
arunachal-pradesh,2021,2,kurung kumey district,6623,27396796.623303153
arunachal-pradesh,2021,2,anjaw district,15311,43475744.23676274
arunachal-pradesh,2021,2,siang district,17032,52687221.42695154
arunachal-pradesh,2021,2,lower siang district,17401,45499278.56988002
arunachal-pradesh,2021,2,kra daadi district,8758,35998227.60012327
arunachal-pradesh,2021,2,changlang district,105461,264031910.34894213
arunachal-pradesh,2021,2,pakke kessang district,4424,13097426.072373278
arunachal-pradesh,2021,2,dibang valley district,1995,9465919.622553768
arunachal-pradesh,2021,2,west kameng district,164866,482626617.86575466
arunachal-pradesh,2021,2,shi yomi district,2135,12166777.18507706
arunachal-pradesh,2021,2,east siang district,106787,286839106.4541313
arunachal-pradesh,2021,2,upper subansiri district,35856,131912938.7628825
arunachal-pradesh,2021,2,east kameng district,22015,95352007.56231916
arunachal-pradesh,2021,2,lohit district,99686,230495504.2475701
arunachal-pradesh,2021,2,lepa rada district,21273,71336743.85611859
arunachal-pradesh,2021,2,tawang district,70061,251025037.95363936
arunachal-pradesh,2021,2,namsai district,64781,147069902.3522784
arunachal-pradesh,2021,3,lower dibang valley district,50270,133788746.95473914
arunachal-pradesh,2021,3,lower subansiri district,46105,142674452.19705147
arunachal-pradesh,2021,3,longding district,32638,100698520.96035638
arunachal-pradesh,2021,3,west siang district,65763,217065611.3332364
arunachal-pradesh,2021,3,kamle district,6064,19140719.47908092
arunachal-pradesh,2021,3,upper siang district,27960,114285857.14806488
arunachal-pradesh,2021,3,tirap district,47118,143620525.85725695
