State,Year,Quarter,District,RegisteredUser
andhra-pradesh,2022,2,guntur district,2514794
andhra-pradesh,2022,2,krishna district,2552107
andhra-pradesh,2022,2,spsr nellore district,1509927
andhra-pradesh,2022,2,vizianagaram district,943242
andhra-pradesh,2022,2,ysr district,1412848
andhra-pradesh,2022,2,west godavari district,1714357
andhra-pradesh,2022,2,chittoor district,2392549
andhra-pradesh,2022,3,east godavari district,2702234
andhra-pradesh,2022,3,srikakulam district,1147016
andhra-pradesh,2022,3,visakhapatnam district,3397514
andhra-pradesh,2022,3,prakasam district,1567520
andhra-pradesh,2022,3,anantapur district,2030824
andhra-pradesh,2022,3,kurnool district,1924127
andhra-pradesh,2022,3,guntur district,2647100
andhra-pradesh,2022,3,krishna district,2685215
andhra-pradesh,2022,3,spsr nellore district,1588875
andhra-pradesh,2022,3,vizianagaram district,995141
andhra-pradesh,2022,3,ysr district,1487140
andhra-pradesh,2022,3,west godavari district,1805967
andhra-pradesh,2022,3,chittoor district,2517657
andhra-pradesh,2022,4,east godavari district,2835087
andhra-pradesh,2022,4,srikakulam district,1204785
andhra-pradesh,2022,4,visakhapatnam district,3566854
andhra-pradesh,2022,4,prakasam district,1642503
andhra-pradesh,2022,4,anantapur district,2128066
andhra-pradesh,2022,4,kurnool district,2018290
andhra-pradesh,2022,4,guntur district,2774365
andhra-pradesh,2022,4,krishna district,2813645
andhra-pradesh,2022,4,spsr nellore district,1663684
andhra-pradesh,2022,4,vizianagaram district,1044490
andhra-pradesh,2022,4,ysr district,1556901
andhra-pradesh,2022,4,west godavari district,1893310
andhra-pradesh,2022,4,chittoor district,2636036
andhra-pradesh,2023,1,east godavari district,2965296
andhra-pradesh,2023,1,srikakulam district,1263204
andhra-pradesh,2023,1,visakhapatnam district,3732544
andhra-pradesh,2023,1,prakasam district,1719910
andhra-pradesh,2023,1,anantapur district,2228505
andhra-pradesh,2023,1,kurnool district,2114023
andhra-pradesh,2023,1,guntur district,2900895
andhra-pradesh,2023,1,krishna district,2941585
andhra-pradesh,2023,1,spsr nellore district,1740294
andhra-pradesh,2023,1,vizianagaram district,1094782
andhra-pradesh,2023,1,ysr district,1628595
andhra-pradesh,2023,1,west godavari district,1980446
andhra-pradesh,2023,1,chittoor district,2755784
